NCT_Number,Study_Title,Study_Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder_Type,Study_Type,Study_Design,Start_Date,Primary_Completion_Date,Completion_Date,First_Posted,Last_Update_Posted,Locations
NCT02809963,Mineralocorticoid Receptor Antagonists in Type 2 Diabetes,COMPLETED,Diabetes Type 2,DRUG: Eplerenone|DRUG: Placebo,Herlev Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE4,140,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",2015-11,2017-11,2017-11,22-06-2016,01-06-2018,"Herlev and Gentofte Hospital, Department of Endocrinology and Metabolism, Department of internal medicine,, Herlev, 2730, Denmark"
NCT01076842,Efficacy Evaluation of Different Medication Combination in Type 2 Diabetes Treatment,COMPLETED,Diabetes Type 2,DRUG: Insulin-Levemir|DRUG: Exenatide-Bayetta|DRUG: Insulin-Levemir and Exenatide-Bayetta|DEVICE: SenseWear Pro3® armband|DEVICE: DexCom CGM,Novo Nordisk A/S,BodyMedia,ALL,"ADULT, OLDER_ADULT",PHASE4,75,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2008-04,2011-04,2011-04,26-02-2010,27-06-2011,"MedStar Research Institute, Washington D.C., District of Columbia, 20003, United States|Walter Reed Army Medical Center, Washington D.C., District of Columbia, 20306, United States"
NCT01608724,The Efficacy and Safety Study in Patients With Type 2 Diabetes Mellitus,COMPLETED,"Diabetes Mellitus, Non-Insulin-Dependent",DRUG: Saxagliptin,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE4,2165,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,2012-11,2014-05,2014-05,31-05-2012,02-02-2016,"Research Site, Baotou, China|Research Site, Beijing, China|Research Site, Benxi, China|Research Site, Changchun, China|Research Site, Chengdu, China|Research Site, Chongqing, China|Research Site, Dalian, China|Research Site, Dongguan, China|Research Site, Foshan, China|Research Site, Fuzhou, China|Research Site, Guangzhou, China|Research Site, Guiyang, China|Research Site, Haikou, China|Research Site, Hangzhou, China|Research Site, Hhht, China|Research Site, Hubei, China|Research Site, Jimo, China|Research Site, Jinan, China|Research Site, Kunming, China|Research Site, Linyi, China|Research Site, Nanjing, China|Research Site, Nantong, China|Research Site, Qingdao, China|Research Site, Shanghai, China|Research Site, Shantou, China|Research Site, Shenyang, China|Research Site, Shiyan, China|Research Site, Suzhou, China|Research Site, Taiyuan, China|Research Site, Tianjin, China|Research Site, Ürümqi, China|Research Site, Wenzhou, China|Research Site, Wuhan, China|Research Site, Wuxi, China|Research Site, Xi'an, China|Research Site, Zhanjiang, China|Research Site, Zhengzhou, China"
NCT04076384,Effectiveness of a Team-based Follow-up Program in General Practice Among People With Chronic Conditions,COMPLETED,Diabetes Type 2|COPD,BEHAVIORAL: Guided Self-Determination|BEHAVIORAL: Standard care,Bergen University College,University of Bergen|University of Stavanger,ALL,"ADULT, OLDER_ADULT",NA,228,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: SINGLE_GROUP | Masking: SINGLE (PARTICIPANT) | Primary Purpose: TREATMENT,19-08-2019,01-01-2022,01-01-2022,03-09-2019,02-03-2022,"Western Norway University of Applied Sciences, Bergen, Hordaland, 5020, Norway"
NCT04971252,Type 2 Diabetes Mellitus and Chronic Kidney Disease,COMPLETED,Renal Disorder Associated With Type II Diabetes Mellitus,DIAGNOSTIC_TEST: Hematologic tests for patients with diabetes mellitus and chronic kidney disease,Sohag University,,ALL,"ADULT, OLDER_ADULT",,150,OTHER,OBSERVATIONAL,Observational Model: CASE_ONLY | Time Perspective: PROSPECTIVE,07-07-2021,23-03-2023,07-07-2023,21-07-2021,09-01-2024,"Sohag University, Sohag, Egypt"
NCT02569684,Effects of Prebiotics on GLP-1 in Type 2 Diabetes,COMPLETED,Diabetes Type 2,DIETARY_SUPPLEMENT: Prebiotic fibers: oligofructose and inulin|DIETARY_SUPPLEMENT: Maltodextrin,Oslo University Hospital,Norwegian Diabetes Association|Norwegian Extra Foundation for Health and Rehabilitation,ALL,"ADULT, OLDER_ADULT",NA,37,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",2015-10,2018-01,2019-12,07-10-2015,16-09-2020,"Oslo University Hospital, Oslo, 0424, Norway"
NCT00259896,In-patient Study in Patients With Type 2 Diabetes Mellitus,COMPLETED,"Type 2 Diabetes Mellitus|Diabetes Mellitus, Type 2",DRUG: exenatide,GlaxoSmithKline,,ALL,"ADULT, OLDER_ADULT",PHASE1,30,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2005-10,,,01-12-2005,04-06-2012,
NCT02648685,The Study to Investigate the Contribution of Basal and Postprandial Glucose to Overall Hyperglycemia in T2DM,COMPLETED,"Diabetes, Type 2",,West China Hospital,,ALL,"ADULT, OLDER_ADULT",,337,OTHER,OBSERVATIONAL,Observational Model: CASE_CONTROL | Time Perspective: PROSPECTIVE,30-11-2015,28-12-2019,31-12-2019,07-01-2016,11-02-2020,"West China Hospital, Chengdu, Sichuan, 610042, China"
NCT05706506,A Study of Tirzepatide (LY3298176) in Adults With Type 2 Diabetes Switching From a GLP-1 RA (SURPASS-SWITCH-2),COMPLETED,"Type 2 Diabetes|Diabetes Mellitus, Type 2",DRUG: Tirzepatide,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE4,152,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,08-03-2023,31-10-2023,31-10-2023,31-01-2023,13-12-2024,"Fiel Family and Sports Medicine PC, Tempe, Arizona, 85283, United States|New Hope Research Development, Corona, California, 92882, United States|Velocity Clinical Research, Gardena, Gardena, California, 90247, United States|Velocity Clinical Research, Huntington Park, Huntington Park, California, 90255, United States|Velocity Clinical Research, Huntington Park, Los Angeles, California, 90057, United States|Valley Clinical Trials, Inc., Northridge, California, 91325, United States|Dream Team Clinical Research, Pomona, California, 91767, United States|Scripps Whittier Diabetes Institute, San Diego, California, 92121-1520, United States|Metabolic Institute of America, Tarzana, California, 91356-3551, United States|CMR of Greater New Haven, LLC, Waterbury, Connecticut, 06708, United States|Velocity Clinical Research, Hallandale Beach, Hallandale, Florida, 33009, United States|East Coast Institute for Research, LLC, Jacksonville, Florida, 32204, United States|Florida Institute For Clinical Research, LLC, Orlando, Florida, 32825, United States|New Tampa Health, Tampa, Florida, 33603-3402, United States|Georgia Clinical Research, Lawrenceville, Georgia, 30044-5896, United States|Endocrine Research Solutions, Inc., Roswell, Georgia, 30076, United States|Velocity Clinical Research, Valparaiso, Valparaiso, Indiana, 46383, United States|Iowa Diabetes and Endocrinology Research Center, West Des Moines, Iowa, 50265, United States|Cotton O'Neil Clinic, Topeka, Kansas, 66606, United States|Versailles Family Medicine, Versailles, Kentucky, 40383-1947, United States|Endocrine and Metabolic Consultants, Rockville, Maryland, 20852, United States|Clinical Research Professionals, Chesterfield, Missouri, 63005, United States|Clinical Research of South Nevada, Las Vegas, Nevada, 89121, United States|Palm Research Center Tenaya, Las Vegas, Nevada, 89128, United States|Advanced Medical Research, Maumee, Ohio, 43537-9402, United States|Conrad Clinical Research, Edmond, Oklahoma, 73013, United States|Mountain View Clinical Research, Inc., Greenville, South Carolina, 29607, United States|Texas Diabetes & Endocrinology, P.A., Austin, Texas, 78731-4309, United States|North Texas Endocrine Center, Dallas, Texas, 75231, United States|Memorial City Endocrine Consultants, Houston, Texas, 77043-2742, United States|Consano Clinical Research, LLC, Shavano Park, Texas, 78231, United States|ClinPoint Trials, Waxahachie, Texas, 75165, United States"
NCT00714441,Reducing Distress and Improving Self-Care in Diabetes,COMPLETED,Diabetes Type 2,BEHAVIORAL: Lifestyle and Activities Education Program (LEAP-AHEAD)|BEHAVIORAL: Computer Automated Self-Management (CASM)|BEHAVIORAL: Computer Automated Self-Management and Problem Solving Therapy (CAPS),"University of California, San Francisco",National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),ALL,"ADULT, OLDER_ADULT",NA,392,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2008-07,2011-11,2011-11,14-07-2008,19-04-2012,"UC San Francisco, Family and Community Medicine Dept., San Francisco, California, 94143, United States"
NCT02722499,Financial Incentives Telephone Education and Skills Trial in African Americans With Diabetes (FITEST),COMPLETED,"Diabetes Mellitus|Type 2 Diabetes Mellitus|Adult-Onset Diabetes Mellitus|Non-Insulin-Dependent Diabetes Mellitus|Noninsulin Dependent Diabetes Mellitus, Type II",BEHAVIORAL: High Frequency Financial Incentive|BEHAVIORAL: Moderate Frequency Financial Incentive|BEHAVIORAL: Low Frequency Financial Incentive,State University of New York at Buffalo,Medical University of South Carolina,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (INVESTIGATOR) | Primary Purpose: TREATMENT,2016-03,2021-03,2021-03,30-03-2016,12-07-2024,"Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States"
NCT06283992,Digital Health Navigation for Latino Patients With Type II Diabetes,RECRUITING,Type 2 Diabetes,OTHER: Digital Navigation,Brigham and Women's Hospital,National Institute on Minority Health and Health Disparities (NIMHD),ALL,"ADULT, OLDER_ADULT",NA,84,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: HEALTH_SERVICES_RESEARCH",31-03-2024,31-05-2026,31-05-2027,28-02-2024,16-09-2025,"Brigham and Women's Hospital, Boston, Massachusetts, 02120, United States"
NCT05336019,The Effect of a Diabetes Self-management Coaching Program for Type 2 Diabetes Patients in the Ethiopian PC.,COMPLETED,"Type 2 Diabetes|Diabetes Mellitus, Type 2",BEHAVIORAL: Diabetes self-management Coaching|OTHER: Usual care,Queen's University,,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (OUTCOMES_ASSESSOR) | Primary Purpose: SUPPORTIVE_CARE,01-10-2022,30-04-2023,30-04-2023,20-04-2022,26-12-2023,"Fikadu Ambaw Yehualashet, Kingston, Ontario, K7K 1N6, Canada"
NCT02559843,Effects of Pomegranate Juice on Oxidative Stress in Patients With type2 Diabetes,COMPLETED,Diabetes Type 2,DIETARY_SUPPLEMENT: pomegranate juice|BEHAVIORAL: lifestyle modification,National Nutrition and Food Technology Institute,,ALL,"ADULT, OLDER_ADULT",PHASE4,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,2014-11,2014-12,2015-02,24-09-2015,24-09-2015,"NNFTRI clinic, Tehran, Tehran Province, 19435, Iran"
NCT00376038,Drug Interactions From Simultaneous Administration Of Metformin And GSK189075 To Subjects With Type 2 Diabetes,COMPLETED,"Type 2 Diabetes Mellitus|Diabetes Mellitus, Type 2",DRUG: GSK189075 oral tablets|DRUG: metformin tablets,GlaxoSmithKline,,ALL,ADULT,PHASE1,13,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: CROSSOVER | Masking: NONE | Primary Purpose: TREATMENT,2006-08,2006-10,2006-10,14-09-2006,04-06-2012,"GSK Investigational Site, Mexico City, 14050, Mexico"
NCT00684528,"A Double-Blind, Randomized, Active-Comparator (Metformin) Controlled, Clinical Trial to Study the Efficacy and Safety of the Strategy to Start Patients With Type 2 Diabetes Mellitus on Janumet™ Compared to Metformin",UNKNOWN,Diabetes Type 2,DRUG: Metformin 1500 mg daily|DRUG: Metformin + Janufer (Janumet),Meir Medical Center,Clalit Health Services,ALL,"ADULT, OLDER_ADULT",PHASE3,1000,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR) | Primary Purpose: TREATMENT",2008-06,2011-12,2012-12,26-05-2008,19-03-2012,"Clalit Health services center, Tel Aviv, 62098, Israel"
NCT06329882,Doxycycline in Type II Diabetes,RECRUITING,"Diabetes Mellitus, Type 2",DRUG: Sitagliptin 100mg|DRUG: Doxycyclin,Mostafa Bahaa,,ALL,ADULT,PHASE1|PHASE2,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,30-03-2024,20-03-2026,20-04-2026,26-03-2024,04-04-2025,"Tanta Unuversity, Tanta, 31527, Egypt"
NCT07659925,Periodization-Based Strength Exercise Training in İndividuals With Type 2 Diabetes,RECRUITING,Type 2 Diabetes,BEHAVIORAL: Non-linear Periodization-Based Strength Training|BEHAVIORAL: Linear Periodization-Based Strength Training|OTHER: Usual Care,Baskent University,,ALL,"ADULT, OLDER_ADULT",NA,48,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,01-05-2026,2026-11,2026-12,22-06-2026,22-06-2026,"Baskent University Hospital, Ankara, Ankara, 06790, Turkey (Türkiye)"
NCT00035542,A Research Study to Determine the Safety and Efficacy of Glucovance Compared to Metformin and Glyburide in Children and Adolescents With Type 2 Diabetes.,COMPLETED,"Diabetes Mellitus, Non-Insulin-Dependent",DRUG: Glucovance (metformin HCl/glyburide)|DRUG: metformin HCl|DRUG: glyburide,Bristol-Myers Squibb,,ALL,CHILD,PHASE3,,INDUSTRY,INTERVENTIONAL,Primary Purpose: TREATMENT,2001-12,2003-10,2003-10,06-05-2002,15-04-2011,"Childrens's Health System/Dept of PED/Diabetes/Endoncrinology, Birmingham, Alabama, 35233, United States|Advanced Clinical Therapeutics, Tucson, Arizona, 85712, United States|Hazan, Lydie, Beverly Hills, California, 90211, United States|Bautista Research & Medical Center, Fresno, California, 93721, United States|Health Care Link, Inc, La Jolla, California, 92037, United States|Neufeld Medical Group, Los Angeles, California, 90048, United States|National Institute Of Clinical Research, Los Angeles, California, 90806, United States|Pasadena Pediatric Endocrinology Diabetes, Pasadena, California, 91105, United States|A.R.I. Clinical Trials, Redondo Beach, California, 90277, United States|Sutter Institute For Medical Research, Sacramento, California, 95816, United States|Children's Hospital, Denver, Colorado, 80218, United States|Connecticut Children's Medical Center, Hartford, Connecticut, 06106, United States|Children's National Medical Center, Washington D.C., District of Columbia, 20010, United States|EDU Practice Pediatric Endocrinology, Tallahassee, Florida, 32308, United States|Southeastern Endocrine and Diabetes, Atlanta, Georgia, 33028, United States|University of Hawaii/Diabetes Research Group, ‘Ewa Beach, Hawaii, 96706, United States|St. James Diabetes Center, Chicago Heights, Illinois, 60411, United States|Lutheran General Children's Hospital, Park Ridge, Illinois, 60068, United States|Raymond Blank Children's Hospital, Des Moines, Iowa, 50309, United States|Louisville Metabolic & Athersclerosis Research Center/Advanced Cardiovascular Institute, Louisville, Kentucky, 40217, United States|Bay East Endocrinologists, Easton, Maryland, 21601, United States|Joslin Diabetes Center, Boston, Massachusetts, 02215, United States|JM Clinical Trials Inc, Swansea, Massachusetts, 02777, United States|Center for Health Management, Gulfport, Mississippi, 39501, United States|Medex Healthcare Research, St Louis, Missouri, 63108, United States|Diabetes, Endocrine & Nutrition Core Physicians, Hampton, New Hampshire, 03842, United States|Hackensack Medical Center, Hackensack, New Jersey, 07601, United States|Endocrine & Diabetes Center, Jersey City, New Jersey, 07306, United States|SUNY Downstate Medical Center / Dept of Endocrinology, Brooklyn, New York, 11203, United States|Children's Hospital of Buffalo/Kaledia Health Diabetes Center, Buffalo, New York, 16222, United States|Winthrop University Hospital, Clinical Trials Center, Mineola, New York, 11502, United States|St Luke's Roosevelt Hospital/Westside Pediatrics Assoc/Clinical Pharmacology Program, New York, New York, 10023, United States|Vassar Brothers Hospital, Poughkeepsie, New York, 12603, United States|University of Rochester/Dpt Pediatrics, S.M.H., Rochester, New York, 14642, United States|Montefioe Medical Center - DIV / c/o BRANY, The Bronx, New York, 11021, United States|East Carolina University School of Medicine Dept of Pediatrics, Greenville, North Carolina, 27858, United States|Children's Hospital Medical Center of Akron, Akron, Ohio, 44308, United States|Metro Health Medical Center, Cleveland, Ohio, 44109-1998, United States|The Cleveland Clinic Children's Hospital/Dept of Pediatrics, Cleveland, Ohio, 44195, United States|Forum Health/Western Reserve/TOD Children's Hospital, Youngstown, Ohio, 44501, United States|Greenville Hospital System/Mountain View Clinical Research/Div of Pediatric Endocrinology, Greenville, South Carolina, 29615, United States|Lebonheur Children's Medical Center, Memphis, Tennessee, 38106, United States|South Texas Applied Research, Corpus Christi, Texas, 78411, United States|Driscoll Children's Hospital/Division of Medical Education/William Riley, Corpus Christi, Texas, 78466-6530, United States|Tri Quest Research Inc, Houston, Texas, 77036, United States|Wilford Hall USAF Medical Center, Lackland Air Force Base, Texas, 78236-5300, United States|Lance Sloan, MD, Lufkin, Texas, 75901, United States|Diabetes & Glandular Disease Clinic, San Antonio, Texas, 78229, United States|S.A.M. Clinical Research Center, San Antonio, Texas, 78229, United States|Monarch Research Associates, Norfolk, Virginia, 23510, United States"
NCT07193459,Study to Evaluate HDM1002 Tablets in Adults With Type 2 Diabetes Mellitus,RECRUITING,Type 2 Diabetes,DRUG: HDM1002 200 mg|DRUG: HDM1002 400 mg|DRUG: Placebo,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,360,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",12-08-2025,10-10-2026,01-02-2027,25-09-2025,25-09-2025,"Peking University People's Hospital, Beijing, Beijing Municipality, 100000, China"
NCT03380416,Effects of a Portfolio Diet on NAFLD in Type 2 Diabetic Patients,COMPLETED,Diabetes Type 2|NAFLD,OTHER: Portfolio Diet|OTHER: MUFA Diet,Federico II University,,ALL,"ADULT, OLDER_ADULT",NA,49,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (CARE_PROVIDER, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",04-04-2017,07-03-2019,20-12-2019,21-12-2017,03-03-2020,"Department of Clinical Medicine and Surgery, Naples, 80131, Italy"
NCT05360147,Liraglutide Improve Cognitive Function in Patients With Type 2 Diabetes Mellitus,COMPLETED,Type 2 Diabetes Mellitus,"DRUG: Liraglutide|DRUG: Oral antidiabetic drugs: Metformin, Sulfonylureas (2nd generation), Thiazolidinediones, α-Glucosidase inhibitors, and Glinides",Third Military Medical University,,ALL,"ADULT, OLDER_ADULT",PHASE3,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT,20-01-2021,20-04-2021,10-05-2021,04-05-2022,04-05-2022,"The third hospital affiliated to the Third Military Medical University, Chongqing, Chongqing Municipality, 400042, China"
NCT05380596,TelePharmaceutical Care Diabetes Trial,UNKNOWN,Diabete Mellitus|Diabete Type 2|Telemedicine|Telehealth,BEHAVIORAL: Telepharmaceutical Care,Rio Grande do Sul State Health Department - SES/RS,Agnes Nogueira Gossenheimer|Ana Paula Rigo|Roberto Eduardo Schneiders,ALL,"ADULT, OLDER_ADULT",NA,124,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: HEALTH_SERVICES_RESEARCH,01-06-2022,2023-01,2023-01,19-05-2022,19-05-2022,"Rio Grande do Sul State Health Department - SES/RS, Porto Alegre, Rio Grande do Sul, 90110-150, Brazil"
NCT00044694,Evaluation of the Effect on Glucose Control and the Safety and Tolerability of AC2993 in Patients With Type 2 Diabetes Mellitus,COMPLETED,"Diabetes Mellitus, Non-Insulin-Dependent",DRUG: Placebo 0.01 mL|DRUG: Placebo 0.02 mL|DRUG: Placebo 0.03 mL|DRUG: Placebo 0.04 mL|DRUG: AC2993 2.5 mcg|DRUG: AC2993 5.0 mcg|DRUG: AC2993 7.5 mcg|DRUG: AC2993 10.0 mcg,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",PHASE2,156,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",2002-08,2003-05,2003-05,05-09-2002,20-02-2015,"Innovative Clinical Trials, Birmingham, Alabama, 35209, United States|Healthsouth Clinical Research, Birmingham, Alabama, 35243, United States|Endocrinology Clinic of O.C., Anaheim, California, 92801, United States|Pioneer Medical Group, Bellflower, California, 90706, United States|International Clinical Research Network, Chula Vista, California, 91910, United States|Bautista Research and Medical Clinic, Fresno, California, 93721, United States|Whittier Institute for Diabetes, La Jolla, California, 92037, United States|Richard Cherlin, M.D., Los Gatos, California, 95032, United States|Dr. Martinez Medical Clinic, Moreno Valley, California, 92553, United States|Anshutz Outpatient Pavilion, Aurora, Colorado, 80010, United States|Diagnostic Clinic, Clearwater, Florida, 33760, United States|Radiant Research-Gainsville, Gainsville, Florida, 32605, United States|Jacksonville Center for Clinical Research, Jacksonville, Florida, 32216, United States|Radiant Research-Pinellas Park, Pinellas Park, Florida, 33781, United States|Clinical Research Group of North Georgia, Blairsville, Georgia, 30512, United States|East-West Medical Research Institute, Honolulu, Hawaii, 96813, United States|Radiant Research-Honolulu, Honolulu, Hawaii, 96814, United States|Radiant Research-Boise, Boise, Idaho, 83704, United States|Cedar-Crosse Research Center, Chicago, Illinois, 60607, United States|Northshore Medical Research, LLC, Covington, Louisiana, 70433, United States|Medical Research Institute, Slidell, Louisiana, 70458, United States|Melvin Kramer, MD, Concord, Massachusetts, 01742, United States|Radiant Research-Edina, Edina, Minnesota, 55435, United States|Mississippi Medical Research, LLC, Gulfport, Mississippi, 39501, United States|The Center for Pharmaceutical Research, Kansas City, Missouri, 64114, United States|Innovative Health Research, Las Vegas, Nevada, 89119, United States|Carolina Advanced Research, Cary, North Carolina, 27511, United States|Fallen Timbers Internal Medicine, LLC, Maumee, Ohio, 43537, United States|Millenium Research, Benbrook, Texas, 76126, United States|Healthsouth Clinical Research, DeSoto, Texas, 75115, United States|Baylor College of Medicine/Clinical Studies Unit, Houston, Texas, 77030, United States|Diabetes Center of the Southwest, Midland, Texas, 79705, United States|Utah Diabetes Center at the University of Utah, Salt Lake City, Utah, 84108, United States"
NCT04449120,HOME COOKING: Health Empowerment Strategy in People With Type II Diabetes Mellitus,COMPLETED,Type 2 Diabetes Mellitus,BEHAVIORAL: Mediterranean diet-based culinary intervention|BEHAVIORAL: Mediterranean diet-based nutritional education intervention,Basque Culinary Center Fundazioa,University of Navarra,ALL,"ADULT, OLDER_ADULT",NA,58,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: PREVENTION,01-06-2020,15-03-2021,30-03-2021,26-06-2020,01-06-2021,"Basque Culinary Center, Donostia / San Sebastian, Guipuzcoa, 20009, Spain"
NCT04670666,Efficacy and Safety of Madalena Association in the Treatment of Type II Diabetes Mellitus,RECRUITING,Type 2 Diabetes Mellitus,DRUG: MADALENA ASSOCIATION|DRUG: METFORMIN|DRUG: EMPAGLIFLOZIN + LINAGLIPTIN|OTHER: MADALENA ASSOCIATION PLACEBO|OTHER: METFORMIN PLACEBO|OTHER: EMPAGLIFLOZIN + LINAGLIPTIN PLACEBO,EMS,,ALL,"ADULT, OLDER_ADULT",PHASE3,270,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: DOUBLE (PARTICIPANT, INVESTIGATOR) | Primary Purpose: TREATMENT",18-11-2024,2026-07,2027-06,17-12-2020,08-12-2025,"EMS, Hortolândia, São Paulo, Brazil"
NCT01634282,Along-term Study of OPC-262 in Patients With Type 2 Diabetes,COMPLETED,"Diabetes, Type 2",DRUG: OPC-262,"Kyowa Kirin Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,222,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,2009-08,2011-06,2011-06,06-07-2012,08-01-2014,"Chubu Region, Japan|Chugoku Region, Japan|Kansai Region, Japan|Kanto Region, Japan|Kyushu Region, Japan|Shikoku Region, Japan|Tohoku Region, Japan"
NCT02537470,Safety and Efficacy of Biphasic Remogliflozin Etabonate in the Treatment of Type 2 Diabetes,COMPLETED,"Type 2 Diabetes Mellitus|Diabetes Mellitus, Type 2",DRUG: Biphasic Remogliflozin Etabonate|OTHER: Placebo,BHV Pharma,Integrium,ALL,"ADULT, OLDER_ADULT",PHASE2,191,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: TREATMENT",2015-07,2016-08,2016-08,01-09-2015,18-01-2018,"Advanced Arizona Clinical Research, Tucson, Arizona, 85712, United States|Long Beach Clinical Trials, Long Beach, California, 90806, United States|Long Beach Center for Clinical Research, Long Beach, California, 90807, United States|National Research Institute, Los Angeles, California, 90057, United States|Orange County Research Center, Tustin, California, 92780, United States|Diablo Clinical Research, Walnut Creek, California, 94598, United States|Chase Medical Research, Waterbury, Connecticut, 06708, United States|Medical Research Unlimited, Hialeah, Florida, 33012, United States|Progressive Medical Research, Port Orange, Florida, 32127, United States|Meridien Research, Tampa, Florida, 33634, United States|eStudySite, Las Vegas, Las Vegas, Nevada, 89109, United States|Comprehensive Clinical Research, Berlin, New Jersey, 08009, United States|Albuquerque Clinical Trials, Inc, Albuquerque, New Mexico, 87102, United States|Mountain View Clinical Research, Greer, South Carolina, 29651, United States|New Phase Research & Development, Knoxville, Tennessee, 37909, United States|Austin Center for Clinical Research, Austin, Texas, 78756, United States|Padre Coast Clinical Research, Corpus Christi, Texas, 78404, United States|Juno Research, LLC, Houston, Texas, 77074, United States|Wasatch Clinical Research, Salt Lake City, Utah, 84107, United States"
NCT06871761,A Trial Comparing HR17031 With Insulin Glargine in Patients With Type 2 Diabetes,COMPLETED,Adult Patients With Type 2 Diabetes,DRUG: HR17031 injection|DRUG: insulin glargine,"Jiangsu HengRui Medicine Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,393,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,08-05-2024,13-05-2025,13-05-2025,12-03-2025,13-01-2026,"Shanghai Zhu Xianyi Memorial Hospital, Tianjin Medical University, Tianjin, Tianjin Municipality, 300400, China"
